Player,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws
Giannis Antetokounmpo,31.9,30.8,13.4,5.8,1.4,1.3,0.565,0.304,0.584,4.2
Luka Doncic,33.8,30.7,10.3,9.4,1.5,0.2,0.484,0.335,0.823,4.4
LeBron James,35,25.6,7.1,10.8,1.4,0.6,0.501,0.342,0.697,3.7
Anthony Davis,34.7,26.1,9.3,3.3,1.4,2.7,0.48,0.343,0.861,3.7
Kawhi Leonard,31.2,25,7.9,5.3,1.9,0.8,0.439,0.313,0.843,1.8
James Harden,37.4,39.5,6.1,7.8,1.8,0.5,0.433,0.344,0.876,4.6
Kyrie Irving,33.8,28.5,5.4,7.2,1.1,0.5,0.444,0.341,0.937,1.6
Damian Lillard,36.6,26.7,4.6,7.3,1.1,0.5,0.443,0.357,0.916,3.1
Joel Embiid,30.1,22.4,12.2,2.9,0.9,1.4,0.454,0.313,0.816,2.2
Karl-Anthony Towns,33.1,25.9,12.5,4.1,1,1.4,0.502,0.421,0.806,2.8